code,latitude,longitude,matched_grid,number
DH03368223,24.217,120.621,ADMQ,2
DH03368224,24.213,120.628,ADKZ,2
DH03368225,24.212,120.615,ADKY,4
DH03368226,24.208,120.623,ADKY,5
DH03368227,24.208,120.623,ADKY,6
DH03368228,24.22,120.715,ADMV,1
DH03368229,24.214,120.705,ADLC,1
DH03368230,24.209,120.716,ADLD,1
DH03368231,24.212,120.712,ADLD,2
DH03368232,24.21,120.709,ADLD,3
DH03368233,24.202,120.702,ADLC,2
DH03368234,24.207,120.712,ADLD,4
DH03368235,24.198,120.715,ADLD,5
DH03368236,24.207,120.714,ADLD,6
DH03368237,24.204,120.707,ADLD,7
DH03368238,24.128,120.458,ADED,1
DH03368239,24.111,120.457,ADCJ,1
DH03368240,24.123,120.465,ADCK,1
DH03368241,24.124,120.463,ADEE,1
DH03368242,24.124,120.458,ADED,2
DH03368243,24.124,120.457,ADED,3
DH03368244,24.124,120.457,ADED,4
DH03368245,24.12,120.464,ADCK,2
DH03368246,24.12,120.458,ADCJ,2
DH03368247,24.12,120.459,ADCJ,3
DH03368248,24.118,120.458,ADCJ,4
DH03368249,24.118,120.463,ADCK,3
DH03368250,24.116,120.457,ADCJ,5
DH03368251,24.119,120.534,ADCN,1
DH03368252,24.12,120.538,ADCN,2
DH03368253,24.119,120.537,ADCN,3
DH03368254,24.117,120.541,ADCN,4
DH03368255,24.128,120.621,ADEL,1
DH03368256,24.124,120.626,ADEM,1
DH03368257,24.126,120.619,ADEL,2
DH03368258,24.126,120.613,ADEL,3
DH03368259,24.124,120.624,ADEM,2
DH03368260,24.124,120.618,ADEL,4
DH03368261,24.119,120.623,ADCR,1
DH03368262,24.115,120.625,ADCS,1
DH03368263,24.125,120.617,ADEL,5
DH03368264,24.125,120.612,ADEL,6
DH03368265,24.122,120.611,ADCR,2
DH03368266,24.116,120.618,ADCR,3
DH03368267,24.112,120.613,ADCR,4
DH03368268,24.129,120.707,ADEQ,1
DH03368269,24.129,120.712,ADEQ,2
DH03368270,24.128,120.718,ADEQ,3
DH03368271,24.12,120.705,ADCV,1
DH03368272,24.12,120.711,ADCW,1
DH03368273,24.122,120.71,ADCW,2
DH03368274,24.117,120.717,ADCW,3
DH03368275,24.121,121.63,AMBU,1
DH03368276,24.123,121.628,AMBU,2
DH03368277,24.042,120.391,ACUZ,1
DH03368278,24.036,120.379,ACUZ,2
DH03368279,24.039,120.377,ACUY,1
DH03368280,24.043,120.456,ACVC,1
DH03368281,24.042,120.463,ACVD,1
DH03368282,24.038,120.461,ACVD,2
DH03368283,24.04,120.456,ACVC,2
DH03368284,24.04,120.458,ACVC,3
DH03368285,24.039,120.456,ACVC,4
DH03368286,24.036,120.465,ACVD,3
DH03368287,24.034,120.463,ACVD,4
DH03368288,24.035,120.46,ACVC,5
DH03368289,24.04,120.541,ACVG,1
DH03368290,24.037,120.546,ACVH,1
DH03368291,24.035,120.537,ACVG,2
DH03368292,24.038,120.539,ACVG,3
DH03368293,24.036,120.538,ACVG,4
DH03368294,24.034,120.54,ACVG,5
DH03368295,24.047,120.606,ACVK,1
DH03368296,24.046,120.618,ACVK,2
DH03368297,24.044,120.624,ACVL,1
DH03368298,24.039,120.614,ACVK,3
DH03368299,24.041,120.617,ACVK,4
DH03368300,24.035,120.621,ACVK,5
DH03368301,24.038,120.619,ACVK,6
DH03368302,24.037,120.623,ACVL,2
DH03368303,24.039,120.621,ACVK,7
DH03368304,24.033,120.617,ACVK,8
DH03368305,24.043,120.702,ACVO,1
DH03368306,24.041,120.704,ACVO,2
DH03368307,24.061,121.616,ALZZ,1
DH03368308,24.046,121.61,ALZK,1
DH03368309,23.969,120.381,ACNP,1
DH03368310,23.954,120.374,ACLR,1
DH03368311,23.953,120.38,ACLS,1
DH03368312,23.964,120.459,ACNS,1
DH03368313,23.959,120.454,ACNS,2
DH03368314,23.959,120.464,ACNT,1
DH03368315,23.955,120.462,ACLW,1
DH03368316,23.954,120.46,ACLW,2
DH03368317,23.968,120.532,ACNW,1
DH03368318,23.96,120.549,ACNX,1
DH03368319,23.96,120.549,ACNX,2
DH03368320,23.965,120.54,ACNW,2
DH03368321,23.954,120.546,ACMA,1
DH03368322,23.982,120.618,ACPX,1
DH03368323,23.959,120.626,ACOB,1
DH03368324,23.955,120.614,ACMD,1
DH03368325,23.947,120.623,ACME,1
DH03368326,23.953,121.544,ALVZ,1
DH03368327,23.956,121.539,ALVY,1
DH03368328,23.885,120.296,ACFR,1
DH03368329,23.881,120.293,ACDR,1
DH03368330,23.878,120.304,ACDS,1
DH03368331,23.878,120.294,ACDR,2
DH03368332,23.876,120.291,ACDR,3
DH03368333,23.869,120.289,ACDR,4
DH03368334,23.887,120.385,ACFW,1
DH03368335,23.879,120.38,ACDW,1
DH03368336,23.876,120.373,ACDV,1
DH03368337,23.874,120.387,ACDW,2
DH03368338,23.878,120.384,ACDW,3
DH03368339,23.875,120.379,ACDW,4
DH03368340,23.873,120.374,ACDV,2
DH03368341,23.886,120.46,ACGA,1
DH03368342,23.884,120.463,ACGA,2
DH03368343,23.879,120.462,ACEA,1
DH03368344,23.875,120.453,ACDZ,1
DH03368345,23.882,120.463,ACGA,3
DH03368346,23.877,120.453,ACDZ,2
DH03368347,23.877,120.46,ACEA,2
DH03368348,23.884,120.538,ACGD,1
DH03368349,23.881,120.543,ACEE,1
DH03368350,23.879,120.536,ACED,1
DH03368351,23.878,120.546,ACEE,2
DH03368352,23.877,120.545,ACEE,3
DH03368353,23.877,120.538,ACED,2
DH03368354,23.872,120.542,ACEE,4
DH03368355,23.881,120.629,ACEI,1
DH03368356,23.89,120.618,ACGH,1
DH03368357,23.885,120.621,ACGH,2
DH03368358,23.881,120.626,ACEI,2
DH03368359,23.867,120.617,ACEH,1
DH03368360,23.876,120.624,ACEI,3
DH03368361,23.874,120.626,ACEI,4
DH03368362,23.876,120.625,ACEI,5
DH03368363,23.876,120.625,ACEI,6
DH03368364,23.877,120.624,ACEI,7
DH03368365,23.877,120.624,ACEI,8
DH03368366,23.883,120.71,ACGM,1
DH03368367,23.884,120.704,ACGL,1
DH03368368,23.875,120.707,ACEM,1
DH03368369,23.875,120.704,ACEL,1
DH03368370,23.888,121.528,ALTL,1
DH03368371,23.799,120.282,ABVU,1
DH03368372,23.796,120.297,ABVV,1
DH03368373,23.793,120.294,ABVU,2
DH03368374,23.788,120.289,ABTT,1
DH03368375,23.79,120.289,ABVU,3
DH03368376,23.789,120.295,ABTT,2
DH03368377,23.782,120.295,ABTT,3
